flight_id;departure_airport;arrival_airport;scheduled_departure;actual_departure;scheduled_arrival;actual_arrival;aircraft_type;status
XZ123;CDG;JFK;2025-06-10 08:30;2025-06-10 08:50;2025-06-10 11:00;2025-06-10 11:15;A380;delayed
BA456;LHR;CDG;2025-06-10 09:00;2025-06-10 09:05;2025-06-10 10:20;2025-06-10 10:18;A320;on-time
DL789;JFK;CDG;2025-06-10 07:00;2025-06-10 07:00;2025-06-10 19:30;2025-06-10 19:25;B777;on-time
CV321;FRA;CDG;2025-06-10 10:00;2025-06-10 10:50;2025-06-10 11:20;2025-06-10 12:10;A320;delayed
EK205;DXB;CDG;2025-06-10 14:30;2025-06-10 14:35;2025-06-10 19:45;2025-06-10 19:40;A380;on-time
AM892;AMS;JFK;2025-06-10 11:15;2025-06-10 11:45;2025-06-10 14:20;2025-06-10 14:55;B787;delayed
UA567;ORD;LHR;2025-06-10 16:00;2025-06-10 16:00;2025-06-10 06:30;2025-06-10 06:25;B777;on-time
VS024;LGW;JFK;2025-06-10 12:30;2025-06-10 13:15;2025-06-10 16:00;2025-06-10 16:45;A330;delayed
;LHR;CDG;2025-06-10 07:45;2025-06-10 07:50;2025-06-10 09:15;2025-06-10 09:20;A319;on-time
QF001;SYD;LHR;2025-06-10 22:00;2025-06-10 22:30;2025-06-11 06:00;2025-06-11 06:45;A380;delayed
SQ317;SIN;CDG;2025-06-10 01:30;2025-06-10 01:30;2025-06-10 08:15;2025-06-10 08:10;A350;on-time
TK056;IST;JFK;2025-06-10 13:45;INVALID_TIME;2025-06-10 18:30;2025-06-10 19:00;A330;delayed
IB3157;MAD;CDG;2025-06-10 15:20;2025-06-10 15:25;2025-06-10 17:10;2025-06-10 17:05;A321;on-time
OS434;VIE;LHR;2025-06-10 08:15;2025-06-10 08:40;2025-06-10 09:45;2025-06-10 10:15;A320;delayed
AC872;YYZ;LHR;2025-06-10 20:30;2025-06-10 20:30;2025-06-11 08:00;2025-06-11 07:55;B787;on-time
NH212;NRT;CDG;2025-06-10 11:00;2025-06-10 11:30;2025-06-10 16:30;2025-06-10 17:00;B777;delayed
AA101;LAX;JFK;2025-06-10 06:00;2025-06-10 06:15;2025-06-10 14:30;2025-06-10 14:45;A321;delayed
CX252;HKG;LHR;2025-06-10 23:45;2025-06-10 23:50;2025-06-11 05:30;2025-06-11 05:25;A350;on-time
EI104;DUB;CDG;2025-06-10 09:30;2025-06-10 09:35;2025-06-10 12:15;2025-06-10 12:20;A320;on-time
SK925;ARN;JFK;2025-06-10 17:15;2025-06-10 17:45;2025-06-10 20:00;2025-06-10 20:30;A330;delayed
WF789;XXX;CDG;2025-06-10 14:00;2025-06-10 14:10;2025-06-10 16:30;2025-06-10 16:25;B737;on-time
FI305;KEF;CDG;2025-06-10 12:00;2025-06-10 12:30;2025-06-10 17:45;2025-06-10 18:15;B757;delayed
RO371;OTP;CDG;2025-06-10 06:30;2025-06-10 06:30;2025-06-10 09:45;2025-06-10 09:40;B737;on-time
MK567;CDG;JFK;2025-02-30 10:00;2025-02-30 10:30;2025-02-30 13:30;2025-02-30 14:00;A340;delayed
TG947;BKK;CDG;2025-06-10 00:45;2025-06-10 01:15;2025-06-10 07:30;2025-06-10 08:00;A350;delayed
SV124;RUH;JFK;2025-06-10 03:00;2025-06-10 03:00;2025-06-10 10:30;2025-06-10 10:25;B777;on-time
QR123;DOH;LHR;2025-06-10 02:15;2025-06-10 02:45;2025-06-10 07:00;2025-06-10 07:30;A350;delayed
9W456;BOM;CDG;2025-06-10 02:30;2025-06-10 03:00;2025-06-10 08:15;2025-06-10 08:45;B737;delayed
ET507;ADD;CDG;2025-06-10 23:30;2025-06-10 23:30;2025-06-11 06:45;2025-06-11 06:40;A350;on-time
MS777;CAI;CDG;2025-06-10 01:00;2025-06-10 01:30;2025-06-10 05:30;2025-06-10 06:00;A330;delayed
AZ134;FCO;JFK;2025-06-10 10:45;2025-06-10 11:15;2025-06-10 14:30;2025-06-10 15:00;A330;delayed
LX345;ZUR;LHR;2025-06-10 07:00;2025-06-10 07:00;2025-06-10 08:15;2025-06-10 08:10;A220;on-time
SN567;BRU;CDG;2025-06-10 08:30;2025-06-10 08:35;2025-06-10 09:45;2025-06-10 09:50;A319;on-time
TP678;LIS;CDG;2025-06-10 09:15;2025-06-10 09:45;2025-06-10 12:30;2025-06-10 13:00;A321;delayed
OK890;PRG;CDG;2025-06-10 11:30;2025-06-10 12:00;2025-06-10 14:15;2025-06-10 14:45;A320;delayed
LO234;WAW;CDG;2025-06-10 06:45;2025-06-10 07:15;2025-06-10 09:30;2025-06-10 10:00;B737;delayed
FB123;SOF;CDG;2025-06-10 13:00;2025-06-10 13:30;2025-06-10 16:45;2025-06-10 17:15;A320;delayed
YM345;YUL;CDG;2025-06-10 19:30;2025-06-10 19:30;2025-06-11 08:45;2025-06-11 08:40;A330;on-time
KE789;ICN;CDG;2025-06-10 13:15;2025-06-10 13:45;2025-06-10 17:30;2025-06-10 18:00;A380;delayed
AI456;DEL;CDG;2025-06-10 01:45;2025-06-10 02:15;2025-06-10 07:00;2025-06-10 07:30;B787;delayed
PK678;KHI;CDG;2025-06-10 03:30;2025-06-10 04:00;2025-06-10 08:45;2025-06-10 09:15;A320;delayed
UL234;CMB;CDG;2025-06-10 04:15;2025-06-10 04:45;2025-06-10 11:30;2025-06-10 12:00;A330;delayed
MH567;KUL;CDG;2025-06-10 23:00;2025-06-10 23:30;2025-06-11 06:15;2025-06-11 06:45;A350;delayed
JL890;NRT;CDG;2025-06-10 12:30;2025-06-10 13:00;2025-06-10 17:45;2025-06-10 18:15;B787;delayed
OZ123;ICN;CDG;2025-06-10 14:00;2025-06-10 14:30;2025-06-10 18:15;2025-06-10 18:45;A330;delayed
CI456;TPE;CDG;2025-06-10 00:30;2025-06-10 01:00;2025-06-10 07:45;2025-06-10 08:15;A350;delayed
BR789;TPE;CDG;2025-06-10 01:15;2025-06-10 01:45;2025-06-10 08:30;2025-06-10 09:00;A330;delayed
OM234;PER;CDG;2025-06-10 22:45;2025-06-10 23:15;2025-06-11 06:30;2025-06-11 07:00;B787;delayed
QV567;FJI;CDG;2025-06-10 21:30;2025-06-10 22:00;2025-06-11 08:15;2025-06-11 08:45;A330;delayed
NZ890;AKL;CDG;2025-06-10 20:15;2025-06-10 20:45;2025-06-11 07:00;2025-06-11 07:30;B787;delayed
VA123;SYD;CDG;2025-06-10 21:00;2025-06-10 21:30;2025-06-11 05:45;2025-06-11 06:15;A330;delayed
JQ456;MEL;CDG;2025-06-10 19:45;2025-06-10 20:15;2025-06-11 06:00;2025-06-11 06:30;B787;delayed
EY789;AUH;CDG;2025-06-10 02:00;2025-06-10 02:30;2025-06-10 07:15;2025-06-10 07:45;A380;delayed
GF234;BAH;CDG;2025-06-10 03:45;2025-06-10 04:15;2025-06-10 09:00;2025-06-10 09:30;A330;delayed
WY567;MCT;CDG;2025-06-10 04:30;2025-06-10 05:00;2025-06-10 10:15;2025-06-10 10:45;A330;delayed
FZ890;DXB;CDG;2025-06-10 05:15;2025-06-10 05:45;2025-06-10 10:00;2025-06-10 10:30;B737;delayed
PC123;PEG;CDG;2025-06-10 06:00;2025-06-10 06:30;2025-06-10 11:45;2025-06-10 12:15;A320;delayed
XY456;ISB;CDG;2025-06-10 00:15;2025-06-10 00:45;2025-06-10 06:30;2025-06-10 07:00;A320;delayed
BY789;MSK;CDG;2025-06-10 15:30;2025-06-10 16:00;2025-06-10 19:15;2025-06-10 19:45;A320;delayed
SU234;SVO;CDG;2025-06-10 16:15;2025-06-10 16:45;2025-06-10 20:00;2025-06-10 20:30;A330;delayed
PS567;KBP;CDG;2025-06-10 14:45;2025-06-10 15:15;2025-06-10 18:30;2025-06-10 19:00;B737;delayed
YK890;YER;CDG;2025-06-10 05:45;2025-06-10 06:15;2025-06-10 12:00;2025-06-10 12:30;A320;delayed
IR123;IKA;CDG;2025-06-10 07:30;2025-06-10 08:00;2025-06-10 13:15;2025-06-10 13:45;A330;delayed
XY999;JFK;CDG;25-12-2023 14:00;25-12-2023 14:30;25-12-2023 03:30;25-12-2023 03:45;;cancelled
AB001;CDG;LHR;2025-06-10 25:30;2025-06-10 25:45;2025-06-10 27:15;2025-06-10 27:30;A320;delayed
CD002;LHR;JFK;2025-06-10 08:00;2025-06-10 08:15;2025-06-09 14:30;2025-06-09 14:45;B777;on-time
EF003;FRA;CDG;2025-13-45 10:00;2025-13-45 10:30;2025-13-45 11:30;2025-13-45 12:00;A319;delayed
GH004;;CDG;2025-06-10 12:00;2025-06-10 12:15;2025-06-10 13:45;2025-06-10 14:00;B737;on-time
IJ005;CDG;;2025-06-10 16:30;2025-06-10 16:45;2025-06-10 18:15;2025-06-10 18:30;A320;on-time
AM006;ZZZ;YYY;2025-06-10 09:15;2025-06-10 09:30;2025-06-10 11:00;2025-06-10 11:15;UNKNOWN;on-time
MN007;CDG;JFK;;;;;A380;unknown
OP008;LHR;CDG;2025-06-10 07:00;2025-06-10 07:00;2025-06-10 08:30;2025-06-10 08:30;A320;
QR009;FRA;LHR;2025-06-10 11:00;2025-06-10 11:00;2025-06-10 12:15;2025-06-10 12:15;;on-time
ST010;AMS;CDG;2025-06-10 13:45;NULL;2025-06-10 15:30;NULL;A319;delayed
UV011;BRU;LHR;2025-06-10 08:30;N/A;2025-06-10 09:45;N/A;B737;cancelled
WX012;ZUR;CDG;2025-06-10 14:15;-;2025-06-10 16:00;-;A220;cancelled
YZ013;VIE;JFK;2025-06-10 10:30;TBD;2025-06-10 14:45;TBD;A330;pending
AA014;CPH;CDG;2025-06-10 15:00;2025-06-10 15:00;2025-06-10 17:30;2025-06-10 17:30;A320;0n-t1me
BB015;ARN;LHR;2025-06-10 06:45;2025-06-10 06:45;2025-06-10 08:00;2025-06-10 08:00;B737;ON_TIME
CC016;HEL;CDG;2025-06-10 12:30;2025-06-10 12:30;2025-06-10 15:45;2025-06-10 15:45;A350;Delayed
DD017;OSL;JFK;2025-06-10 18:00;2025-06-10 18:00;2025-06-10 21:15;2025-06-10 21:15;B787;CANCELLED
EE018;LIS;CDG;2025-06-10 09:45;2025-06-10 09:45;2025-06-10 13:00;2025-06-10 13:00;A321;active
