aircraft_id;aircraft_type;last_maintenance_date;maintenance_type
F-GSQA;A380;2024-05-20;routine
G-EUUC;A320;2024-06-01;corrective
N123DL;B777;2024-05-30;major
D-AIPY;A320;2024-06-05;routine
A6-EUA;A380;2024-05-25;routine
PH-BHA;B787;2024-06-02;corrective
N567UA;B777;2024-05-28;major
G-VFAB;A330;2024-06-03;routine
VH-OQA;A380;2024-05-22;routine
9V-SKA;A350;2024-05-31;corrective
TC-JJU;A330;2024-06-04;routine
EC-LZX;A321;2024-06-01;routine
OE-LBX;A320;2024-05-29;corrective
C-GHPX;B787;2024-05-26;major
JA873A;B777;2024-06-02;routine
N567AA;A321;2024-05-30;corrective
B-LXA;A350;2024-05-27;major
EI-DVE;A320;2024-06-03;routine
SE-REH;A330;2024-05-25;routine
F-WZFA;B737;2024-06-01;corrective
TF-FIU;B757;2024-05-28;major
YR-ASA;B737;2024-06-04;routine
HS-TKF;A350;2024-05-29;corrective
HZ-AK13;B777;2024-05-31;routine
A7-BEX;A350;2024-06-02;corrective
VT-ANL;B737;2024-05-26;major
ET-AVJ;A350;2024-05-30;routine
SU-GDL;A330;2024-06-01;corrective
I-EJGA;A330;2024-05-28;routine
HB-JCE;A220;2024-06-03;UNKNOWN_TYPE
OO-SND;A319;2024-05-25;routine
CS-TOE;A321;2024-05-29;major
OK-MEL;A320;2024-06-02;corrective
SP-LRA;B737;2024-05-31;routine
LZ-FBA;A320;2024-06-04;corrective
C-FGKZ;A330;2024-05-27;major
HL7534;A380;2024-05-30;routine
VT-ALD;B787;2024-06-01;corrective
AP-BHV;A320;2024-05-28;routine
4R-ALA;A330;2024-06-03;corrective
9M-MTO;A350;2024-05-25;major
JA832J;B787;2024-05-29;routine
HL8217;A330;2024-06-02;corrective
B-18918;A350;2024-05-31;routine
B-16722;A330;2024-06-04;corrective
VH-OPD;B787;2024-05-26;major
VH-VQS;A330;2024-05-30;routine
VH-VWY;B787;2024-06-01;corrective
A6-EYH;A380;2024-05-28;routine
A9C-FA;A330;2024-06-03;corrective
A40-DD;A330;2024-05-25;major
A6-FDM;B737;2024-05-29;routine
EP-PEG;A320;2024-06-02;corrective
AP-BLD;A320;2024-05-31;routine
EW-366PA;A320;2024-06-04;corrective
VP-BLR;A330;2024-05-27;major
UR-PSI;B737;2024-05-30;routine
70-YER;A320;2024-06-01;corrective
EP-IBA;A330;2024-05-28;routine
;B777;2024-06-01;routine
G-VLHK;A320;2024-05-30;major
F-HTGE;A350;2024-06-02;experimental
;;;
OS-VIE;A320;2024-06-01;
OY-KAA;A320;2024-06-01;routine
LN-RGA;B737;2024-05-29;corrective
OH-LTO;A350;2024-06-03;major
D-ABYT;A319;2024-05-31;routine
F-HPJA;A320;2024-06-02;corrective
