airport_code;datetime;wind_speed_kts;visibility_km;weather_condition
CDG;2024-06-10 08:00;12;10;clear
LHR;2024-06-10 08:00;15;8;rain
JFK;2024-06-10 07:00;8;15;clear
FRA;2024-06-10 10:00;25;2;fog
DXB;2024-06-10 14:00;5;20;clear
AMS;2024-06-10 11:00;18;6;rain
ORD;2024-06-10 16:00;22;12;clear
LGW;2024-06-10 12:00;10;9;overcast
SYD;2024-06-10 22:00;8;18;clear
SIN;2024-06-10 01:00;12;14;hazy
IST;2024-06-10 13:00;14;11;clear
MAD;2024-06-10 15:00;16;13;clear
VIE;2024-06-10 08:00;20;7;fog
YYZ;2024-06-10 20:00;6;16;clear
NRT;2024-06-10 11:00;9;17;clear
LAX;2024-06-10 06:00;4;19;clear
HKG;2024-06-10 23:00;11;12;hazy
DUB;2024-06-10 09:00;19;5;rain
ARN;2024-06-10 17:00;23;8;overcast
XXX;2024-06-10 14:00;28;3;storm
KEF;2024-06-10 12:00;35;1;fog
OTP;2024-06-10 06:00;7;14;clear
BKK;2024-06-10 00:00;13;9;hazy
RUH;2024-06-10 03:00;3;22;clear
DOH;2024-06-10 02:00;6;18;clear
BOM;2024-06-10 02:00;15;7;hazy
ADD;2024-06-10 23:00;9;16;clear
CAI;2024-06-10 01:00;11;13;clear
FCO;2024-06-10 10:00;17;10;clear
ZUR;2024-06-10 07:00;21;6;fog
BRU;2024-06-10 08:00;14;11;rain
LIS;2024-06-10 09:00;8;15;clear
PRG;2024-06-10 11:00;12;9;overcast
WAW;2024-06-10 06:00;16;8;rain
SOF;2024-06-10 13:00;10;12;clear
YUL;2024-06-10 19:00;5;17;clear
ICN;2024-06-10 13:00;7;14;hazy
DEL;2024-06-10 01:00;18;6;hazy
KHI;2024-06-10 03:00;12;11;clear
CMB;2024-06-10 04:00;14;13;clear
KUL;2024-06-10 23:00;9;15;hazy
TPE;2024-06-10 00:00;11;12;hazy
PER;2024-06-10 22:00;6;19;clear
FJI;2024-06-10 21:00;8;16;clear
AKL;2024-06-10 20:00;13;14;clear
MEL;2024-06-10 19:00;10;17;clear
AUH;2024-06-10 02:00;4;21;clear
BAH;2024-06-10 03:00;7;18;clear
MCT;2024-06-10 04:00;9;16;clear
PEG;2024-06-10 06:00;12;13;clear
ISB;2024-06-10 00:00;15;10;hazy
MSK;2024-06-10 15:00;26;4;snow
SVO;2024-06-10 16:00;24;5;snow
KBP;2024-06-10 14:00;19;7;overcast
YER;2024-06-10 05:00;8;14;clear
IKA;2024-06-10 07:00;11;12;clear
CPH;2024-06-10 15:00;17;9;rain
HEL;2024-06-10 12:00;22;6;overcast
OSL;2024-06-10 18:00;29;3;storm
